audio_path,feat_path
train-clean-100/103/1240/103-1240-0000.flac,train-clean-100/103/1240/103-1240-0000.pt
train-clean-100/103/1240/103-1240-0001.flac,train-clean-100/103/1240/103-1240-0001.pt
train-clean-100/103/1240/103-1240-0002.flac,train-clean-100/103/1240/103-1240-0002.pt
train-clean-100/103/1240/103-1240-0003.flac,train-clean-100/103/1240/103-1240-0003.pt
train-clean-100/103/1240/103-1240-0004.flac,train-clean-100/103/1240/103-1240-0004.pt
train-clean-100/103/1240/103-1240-0005.flac,train-clean-100/103/1240/103-1240-0005.pt
train-clean-100/103/1240/103-1240-0006.flac,train-clean-100/103/1240/103-1240-0006.pt
train-clean-100/103/1240/103-1240-0007.flac,train-clean-100/103/1240/103-1240-0007.pt
train-clean-100/103/1240/103-1240-0008.flac,train-clean-100/103/1240/103-1240-0008.pt
train-clean-100/103/1240/103-1240-0009.flac,train-clean-100/103/1240/103-1240-0009.pt
train-clean-100/103/1240/103-1240-0010.flac,train-clean-100/103/1240/103-1240-0010.pt
train-clean-100/103/1240/103-1240-0011.flac,train-clean-100/103/1240/103-1240-0011.pt
train-clean-100/103/1240/103-1240-0012.flac,train-clean-100/103/1240/103-1240-0012.pt
train-clean-100/103/1240/103-1240-0013.flac,train-clean-100/103/1240/103-1240-0013.pt
train-clean-100/103/1240/103-1240-0014.flac,train-clean-100/103/1240/103-1240-0014.pt
train-clean-100/103/1240/103-1240-0015.flac,train-clean-100/103/1240/103-1240-0015.pt
train-clean-100/103/1240/103-1240-0016.flac,train-clean-100/103/1240/103-1240-0016.pt
train-clean-100/103/1240/103-1240-0017.flac,train-clean-100/103/1240/103-1240-0017.pt
train-clean-100/103/1240/103-1240-0018.flac,train-clean-100/103/1240/103-1240-0018.pt
train-clean-100/103/1240/103-1240-0019.flac,train-clean-100/103/1240/103-1240-0019.pt
train-clean-100/103/1240/103-1240-0020.flac,train-clean-100/103/1240/103-1240-0020.pt
train-clean-100/103/1240/103-1240-0021.flac,train-clean-100/103/1240/103-1240-0021.pt
train-clean-100/103/1240/103-1240-0022.flac,train-clean-100/103/1240/103-1240-0022.pt
train-clean-100/103/1240/103-1240-0023.flac,train-clean-100/103/1240/103-1240-0023.pt
train-clean-100/103/1240/103-1240-0024.flac,train-clean-100/103/1240/103-1240-0024.pt
